date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:31:04	1238/1238	---MCZ	404	error ('NOT%20FOUND')	text/html	date:Fri,%2017%20Jun%202016%2003:26:20%20GMT	http://www.target-agriculture.com/robots.txt		(from )
04:31:05	29588/29588	---MCZ	200	added ('OK')	text/html	date:Fri,%2017%20Jun%202016%2003:26:20%20GMT	http://www.target-agriculture.com/	C:/My%20Web%20Sites/LANRE-CASHEW/www.target-agriculture.com/index.html	(from )
04:31:09	106015/106015	---MCZ	200	added ('OK')	text/css	etag:W/%2255be2af7-19e1f%22	http://target-agriculture.com/static/cms/assets/plugins/bootstrap/css/bootstrap.min.css	C:/My%20Web%20Sites/LANRE-CASHEW/target-agriculture.com/static/cms/assets/plugins/bootstrap/css/bootstrap.min.css	(from http://www.target-agriculture.com/)
04:31:10	35496/35496	---MCZ	200	added ('OK')	text/css	etag:W/%2255be2af7-8aa8%22	http://target-agriculture.com/static/cms/assets/css/style.css	C:/My%20Web%20Sites/LANRE-CASHEW/target-agriculture.com/static/cms/assets/css/style.css	(from http://www.target-agriculture.com/)
04:31:10	6505/6505	---MCZ	200	added ('OK')	text/css	etag:W/%2255be2af7-1969%22	http://target-agriculture.com/static/cms/assets/css/headers/header1.css	C:/My%20Web%20Sites/LANRE-CASHEW/target-agriculture.com/static/cms/assets/css/headers/header1.css	(from http://www.target-agriculture.com/)
04:31:10	16849/16849	---MCZ	200	added ('OK')	text/css	etag:W/%2255be2af7-41d1%22	http://target-agriculture.com/static/cms/assets/plugins/bootstrap/css/bootstrap-responsive.min.css	C:/My%20Web%20Sites/LANRE-CASHEW/target-agriculture.com/static/cms/assets/plugins/bootstrap/css/bootstrap-responsive.min.css	(from http://www.target-agriculture.com/)
04:31:11	3829/3829	---MCZ	200	added ('OK')	text/css	etag:W/%2255be2af7-ef5%22	http://target-agriculture.com/static/cms/assets/css/style_responsive.css	C:/My%20Web%20Sites/LANRE-CASHEW/target-agriculture.com/static/cms/assets/css/style_responsive.css	(from http://www.target-agriculture.com/)
04:31:12	4122/4122	---MCZ	200	added ('OK')	text/css	etag:W/%2255be2af7-101a%22	http://target-agriculture.com/static/cms/assets/css/effects.css	C:/My%20Web%20Sites/LANRE-CASHEW/target-agriculture.com/static/cms/assets/css/effects.css	(from http://www.target-agriculture.com/)
04:31:12	5805/5805	---MCZ	200	added ('OK')	text/css	etag:W/%2255be2af7-16ad%22	http://target-agriculture.com/static/cms/assets/css/themes/default.css	C:/My%20Web%20Sites/LANRE-CASHEW/target-agriculture.com/static/cms/assets/css/themes/default.css	(from http://www.target-agriculture.com/)
04:31:13	14142/14142	---MCZ	200	added ('OK')	text/css	etag:W/%2255be2692-373e%22	http://target-agriculture.com/static/css/font-awesome.min.css	C:/My%20Web%20Sites/LANRE-CASHEW/target-agriculture.com/static/css/font-awesome.min.css	(from http://www.target-agriculture.com/)
04:31:13	24839/24839	---MCZ	200	added ('OK')	text/css	etag:W/%2255be2af6-6107%22	http://target-agriculture.com/static/cms/rs-plugin/css/settings.css	C:/My%20Web%20Sites/LANRE-CASHEW/target-agriculture.com/static/cms/rs-plugin/css/settings.css	(from http://www.target-agriculture.com/)
04:31:13	430/430	---MCZ	200	added ('OK')	text/css	etag:W/%2255be2af7-1ae%22	http://target-agriculture.com/static/cms/css/target.css	C:/My%20Web%20Sites/LANRE-CASHEW/target-agriculture.com/static/cms/css/target.css	(from http://www.target-agriculture.com/)
04:31:14	4150/4150	---MCZ	200	added ('OK')	text/css	etag:W/%2255be2af7-1036%22	http://target-agriculture.com/static/cms/assets/css/img-hover-effect.css	C:/My%20Web%20Sites/LANRE-CASHEW/target-agriculture.com/static/cms/assets/css/img-hover-effect.css	(from http://www.target-agriculture.com/)
04:31:15	9171/9171	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2255be2af7-23d3%22	http://target-agriculture.com/static/cms/assets/js/modernizr.custom.js	C:/My%20Web%20Sites/LANRE-CASHEW/target-agriculture.com/static/cms/assets/js/modernizr.custom.js	(from http://www.target-agriculture.com/)
04:31:15	93435/93435	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2255be2af7-16cfb%22	http://target-agriculture.com/static/cms/assets/js/jquery-1.8.2.min.js	C:/My%20Web%20Sites/LANRE-CASHEW/target-agriculture.com/static/cms/assets/js/jquery-1.8.2.min.js	(from http://www.target-agriculture.com/)
04:31:16	28631/28631	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2255be2af7-6fd7%22	http://target-agriculture.com/static/cms/assets/plugins/bootstrap/js/bootstrap.min.js	C:/My%20Web%20Sites/LANRE-CASHEW/target-agriculture.com/static/cms/assets/plugins/bootstrap/js/bootstrap.min.js	(from http://www.target-agriculture.com/)
04:31:16	11755/11755	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2255be2af7-2deb%22	http://target-agriculture.com/static/cms/js/holder.js	C:/My%20Web%20Sites/LANRE-CASHEW/target-agriculture.com/static/cms/js/holder.js	(from http://www.target-agriculture.com/)
04:31:17	10197/10197	---M--	200	added ('OK')	image/jpeg	etag:%2255be2af7-27d5%22	http://target-agriculture.com/static/cms/img/home-slider/bg/aqua.jpg	C:/My%20Web%20Sites/LANRE-CASHEW/target-agriculture.com/static/cms/img/home-slider/bg/aqua.jpg	(from http://www.target-agriculture.com/)
04:31:18	27473/27473	---M--	200	added ('OK')	image/png	etag:%2255be2af7-6b51%22	http://target-agriculture.com/static/cms/img/home-slider/USDA-logo-250.png	C:/My%20Web%20Sites/LANRE-CASHEW/target-agriculture.com/static/cms/img/home-slider/USDA-logo-250.png	(from http://www.target-agriculture.com/)
04:31:18	4513/4513	---MCZ	200	added ('OK')	text/html	date:Fri,%2017%20Jun%202016%2003:26:34%20GMT	http://www.target-agriculture.com/news/	C:/My%20Web%20Sites/LANRE-CASHEW/www.target-agriculture.com/news/index.html	(from http://www.target-agriculture.com/)
04:31:18	16922/16922	---MCZ	200	added ('OK')	text/html	date:Fri,%2017%20Jun%202016%2003:26:34%20GMT	http://www.target-agriculture.com/products/	C:/My%20Web%20Sites/LANRE-CASHEW/www.target-agriculture.com/products/index.html	(from http://www.target-agriculture.com/)
04:31:19	8896/8896	---M--	200	added ('OK')	image/png	etag:%2255be2af7-22c0%22	http://target-agriculture.com/static/cms/img/logo-horizontal-50px.png	C:/My%20Web%20Sites/LANRE-CASHEW/target-agriculture.com/static/cms/img/logo-horizontal-50px.png	(from http://www.target-agriculture.com/)
04:31:19	8151/8151	---MCZ	200	added ('OK')	text/html	date:Fri,%2017%20Jun%202016%2003:26:35%20GMT	http://www.target-agriculture.com/contact/	C:/My%20Web%20Sites/LANRE-CASHEW/www.target-agriculture.com/contact/index.html	(from http://www.target-agriculture.com/)
04:31:19	4769/4769	---M--	200	added ('OK')	image/jpeg	etag:%2255be2af7-12a1%22	http://target-agriculture.com/static/cms/img/home-slider/eu-organic-logo.jpg	C:/My%20Web%20Sites/LANRE-CASHEW/target-agriculture.com/static/cms/img/home-slider/eu-organic-logo.jpg	(from http://www.target-agriculture.com/)
04:31:20	15242/15242	---M--	200	added ('OK')	image/png	etag:%2255be2af7-3b8a%22	http://target-agriculture.com/static/cms/img/home-slider/JAS-logo.png	C:/My%20Web%20Sites/LANRE-CASHEW/target-agriculture.com/static/cms/img/home-slider/JAS-logo.png	(from http://www.target-agriculture.com/)
04:31:21	14627/14627	---M--	200	added ('OK')	image/gif	etag:%2255be2af7-3923%22	http://target-agriculture.com/static/cms/img/home-slider/kosher.gif	C:/My%20Web%20Sites/LANRE-CASHEW/target-agriculture.com/static/cms/img/home-slider/kosher.gif	(from http://www.target-agriculture.com/)
04:31:22	17817/17817	---MCZ	200	added ('OK')	text/html	date:Fri,%2017%20Jun%202016%2003:26:35%20GMT	http://www.target-agriculture.com/countries/	C:/My%20Web%20Sites/LANRE-CASHEW/www.target-agriculture.com/countries/index.html	(from http://www.target-agriculture.com/)
